method,decay,m,trial,estimate,true_trace,relative_error
NA-Hutch++,0.5,20,19,63.27071073935498,61.80100876524323,0.023781197159653933
Gaussian-Hutch++,0.5,20,19,61.99110235759002,61.80100876524323,0.0030758978881538826
Hutchinson,0.5,20,20,60.90066276382424,61.80100876524323,0.014568467722574478
Hutch++,0.5,20,20,56.778546013717396,61.80100876524323,0.08126829726362751
NA-Hutch++,0.5,20,20,60.85954340998266,61.80100876524323,0.015233818574658069
Gaussian-Hutch++,0.5,20,20,61.84616027275731,61.80100876524323,0.0007305949921560295
Hutchinson,0.5,20,21,61.27416057439736,61.80100876524323,0.008524912479133733
Hutch++,0.5,20,21,54.2071749397762,61.80100876524323,0.12287556428589863
NA-Hutch++,0.5,20,21,60.41932485528597,61.80100876524323,0.02235697988694186
Gaussian-Hutch++,0.5,20,21,60.8742271109795,61.80100876524323,0.014996222113205296
Hutchinson,0.5,20,22,61.63051142487437,61.80100876524323,0.002758811608019392
Hutch++,0.5,20,22,55.58250439933802,61.80100876524323,0.10062140554253357
NA-Hutch++,0.5,20,22,62.84763892915878,61.80100876524323,0.016935486731151344
Gaussian-Hutch++,0.5,20,22,61.490028662934584,61.80100876524323,0.005031958353462059
Hutchinson,0.5,20,23,61.11218750979043,61.80100876524323,0.011145793073853397
Hutch++,0.5,20,23,55.40497184899192,61.80100876524323,0.10349405364153912
NA-Hutch++,0.5,20,23,63.0515525894433,61.80100876524323,0.020235006663893947
Gaussian-Hutch++,0.5,20,23,63.20672304650102,61.80100876524323,0.022745814499525736
Hutchinson,0.5,20,24,61.70813867025349,61.80100876524323,0.001502727816992719
Hutch++,0.5,20,24,55.715942022215216,61.80100876524323,0.09846225595026606
NA-Hutch++,0.5,20,24,61.632370055704214,61.80100876524323,0.0027287371664046277
Gaussian-Hutch++,0.5,20,24,61.51198962419299,61.80100876524323,0.004676608793686607
Hutchinson,0.5,20,25,61.39502242164688,61.80100876524323,0.006569251080326693
Hutch++,0.5,20,25,55.101274231665975,61.80100876524323,0.10840817435564537
NA-Hutch++,0.5,20,25,63.376842851111135,61.80100876524323,0.02549851721440103
Gaussian-Hutch++,0.5,20,25,62.073026250349784,61.80100876524323,0.004401505582859261
Hutchinson,0.5,20,26,61.90859594772006,61.80100876524323,0.0017408645040974462
Hutch++,0.5,20,26,55.816592122605016,61.80100876524323,0.09683364013313388
NA-Hutch++,0.5,20,26,62.755760282964395,61.80100876524323,0.015448801513060642
Gaussian-Hutch++,0.5,20,26,61.064504428281424,61.80100876524323,0.01191735137786321
Hutchinson,0.5,20,27,61.805920462557005,61.80100876524323,7.947600552007757e-05
Hutch++,0.5,20,27,57.29599528242227,61.80100876524323,0.07289546842080957
NA-Hutch++,0.5,20,27,60.801576837467195,61.80100876524323,0.01617177369341122
Gaussian-Hutch++,0.5,20,27,61.47983745604771,61.80100876524323,0.005196861922036239
Hutchinson,0.5,20,28,61.249832531683545,61.80100876524323,0.008918563702631136
Hutch++,0.5,20,28,56.27180973282078,61.80100876524323,0.08946777961870526
NA-Hutch++,0.5,20,28,60.21325004861122,61.80100876524323,0.025691469255190575
Gaussian-Hutch++,0.5,20,28,60.80671938684111,61.80100876524323,0.016088562278635633
Hutchinson,0.5,20,29,61.23944452529656,61.80100876524323,0.009086651677156636
Hutch++,0.5,20,29,55.721667396276736,61.80100876524323,0.09836961386924004
NA-Hutch++,0.5,20,29,61.642046518424316,61.80100876524323,0.002572162655511803
Gaussian-Hutch++,0.5,20,29,61.5220365982727,61.80100876524323,0.0045140390512108655
Hutchinson,0.5,20,30,60.66747834684306,61.80100876524323,0.018341616763991486
Hutch++,0.5,20,30,55.56728108276451,61.80100876524323,0.10086773350509708
NA-Hutch++,0.5,20,30,62.75346509486603,61.80100876524323,0.015411663153279428
Gaussian-Hutch++,0.5,20,30,61.24346230247327,61.80100876524323,0.009021640162668772
Hutchinson,0.5,20,31,61.71765275153514,61.80100876524323,0.0013487807945777438
Hutch++,0.5,20,31,55.311716700047036,61.80100876524323,0.1050030120033536
NA-Hutch++,0.5,20,31,60.083383166375704,61.80100876524323,0.027792840815788065
Gaussian-Hutch++,0.5,20,31,61.21311696831776,61.80100876524323,0.009512656972293596
Hutchinson,0.5,20,32,61.63070468501176,61.80100876524323,0.0027556844723747175
Hutch++,0.5,20,32,56.969978484148385,61.80100876524323,0.07817073503518294
NA-Hutch++,0.5,20,32,61.09530373075392,61.80100876524323,0.01141898892249474
Gaussian-Hutch++,0.5,20,32,61.54276878605707,61.80100876524323,0.004178572232811164
Hutchinson,0.5,20,33,62.18695633459039,61.80100876524323,0.006245004362521274
Hutch++,0.5,20,33,55.618153030050145,61.80100876524323,0.10004457627349139
