matrix_name,family,param,q,mse,rmse,rel_rmse
PowerLaw (alpha=2.5),Power Law Sweep,2.5,24,2.2003463649312792e-07,0.0004690784971549303,0.00034984304277690557
PowerLaw (alpha=2.5),Power Law Sweep,2.5,26,2.1423496647180177e-07,0.00046285523273676164,0.0003452016751310587
PowerLaw (alpha=2.5),Power Law Sweep,2.5,28,2.5177125573813165e-07,0.0005017681294563572,0.00037422327018223935
PowerLaw (alpha=3.0),Power Law Sweep,3.0,2,0.0002172007639009814,0.014737732658078087,0.012260933376940794
PowerLaw (alpha=3.0),Power Law Sweep,3.0,4,1.5998885477547553e-05,0.003999860682267265,0.0033276506285003647
PowerLaw (alpha=3.0),Power Law Sweep,3.0,6,1.7227680901744667e-06,0.0013125426050892468,0.0010919588384970893
PowerLaw (alpha=3.0),Power Law Sweep,3.0,8,7.242871478284173e-07,0.0008510506141402034,0.0007080244378471677
PowerLaw (alpha=3.0),Power Law Sweep,3.0,10,1.6106983844132637e-07,0.0004013350700366545,0.00033388735361895155
PowerLaw (alpha=3.0),Power Law Sweep,3.0,12,1.1750842272419418e-07,0.0003427950156058197,0.00028518544512928063
PowerLaw (alpha=3.0),Power Law Sweep,3.0,14,3.241959154664498e-08,0.00018005441273860793,0.00014979476219513431
